Uni Name,State,Average Fee per semester in AUD,IELTS overall,IELTS reading,IELTS listening,IELTS writing,IELTS speaking,TOEFL IBT overall,TOEFL IBT listening,TOEFL IBT reading,TOEFL IBT speaking,TOEFL IBT writing,PTE overall,PTE speaking & writing,PTE reading,PTE listening,minimum IELTS overall,minimum TOEFL IBT overall,minimum PTE overall
The Australian National University,Australian Capital Territory,41040.0,6.0,5.5,5.5,5.5,5.5,72.25,15.0,17.4,18.25,21.608695652173914,51.46666666666667,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
University of Canberra,Australian Capital Territory,24500.0,6.5,5.9,5.9,5.9,5.9,46.0,4.0,46.0,14.0,14.0,40.0,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
Avondale University,NSW,31867.82608695652,6.166666666666667,5.9,5.9,5.9,5.9,72.25,15.0,17.4,18.25,21.608695652173914,51.46666666666667,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
Charles Sturt University,NSW,31867.82608695652,6.166666666666667,5.5,5.5,5.5,5.5,72.25,15.0,17.4,18.25,21.608695652173914,51.46666666666667,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
Macquarie University,NSW,31867.82608695652,6.166666666666667,6.0,6.0,6.0,6.0,72.25,12.0,13.0,18.0,21.0,51.46666666666667,52.0,52.0,52.0,6.5,83.0,58.0
Southern Cross University,NSW,31867.82608695652,6.166666666666667,5.5,5.5,5.5,5.5,72.25,15.0,17.4,18.25,21.608695652173914,51.46666666666667,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
University of New England,NSW,31867.82608695652,6.166666666666667,5.5,5.5,5.5,5.5,72.25,15.0,17.4,18.25,22.0,51.46666666666667,50.0,50.0,50.0,6.0,79.0,57.0
University of New South Wales,NSW,31867.82608695652,6.166666666666667,6.0,6.0,6.0,6.0,72.25,22.0,22.0,22.0,23.0,51.46666666666667,54.0,54.0,54.0,6.5,90.0,64.0
University of Newcastle,NSW,31867.82608695652,6.166666666666667,6.0,6.0,6.0,6.0,72.25,12.0,13.0,18.0,21.0,51.46666666666667,51.46666666666667,52.07142857142857,52.07142857142857,6.0,60.0,50.0
University of Sydney,NSW,31867.82608695652,6.166666666666667,6.0,6.0,6.0,6.0,72.25,17.0,17.0,17.0,19.0,51.46666666666667,54.0,54.0,54.0,6.5,85.0,61.0
University of Technology Sydney,NSW,31867.82608695652,6.166666666666667,6.0,6.0,6.0,6.0,72.25,15.0,17.4,18.25,21.0,51.46666666666667,50.0,52.07142857142857,52.07142857142857,6.5,79.0,58.0
University of Wollongong,NSW,31867.82608695652,6.166666666666667,6.0,6.0,6.0,6.0,72.25,17.0,18.0,17.0,18.0,51.46666666666667,54.0,47.0,47.0,6.0,70.0,54.0
Western Sydney University,NSW,31867.82608695652,6.166666666666667,6.0,6.0,6.0,6.0,72.25,13.0,13.0,18.0,21.0,51.46666666666667,50.0,50.0,50.0,6.5,82.0,58.0
Charles Darwin University,Northern Territory,26000.0,6.0,5.9,5.9,5.9,5.9,72.25,15.0,17.4,18.25,21.608695652173914,51.46666666666667,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
Bond University,Queensland,31867.82608695652,6.5,5.9,5.9,5.9,5.9,72.25,15.0,17.4,18.25,21.608695652173914,51.46666666666667,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
Central Queensland University,Queensland,30240.0,6.0,5.9,5.9,5.9,5.9,72.25,15.0,17.4,18.25,21.608695652173914,51.46666666666667,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
Griffith University,Queensland,32500.0,6.5,5.9,5.9,5.9,5.9,72.25,15.0,17.4,18.25,21.608695652173914,51.46666666666667,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
James Cook University,Queensland,33000.0,6.0,5.9,5.9,5.9,5.9,74.0,15.0,17.4,18.25,21.608695652173914,52.0,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
Queensland University of Technology,Queensland,31867.82608695652,6.5,5.9,5.9,5.9,5.9,72.25,15.0,17.4,18.25,21.608695652173914,51.46666666666667,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
The University of Queensland,Queensland,38432.0,6.5,5.9,5.9,5.9,5.9,72.25,15.0,17.4,18.25,21.608695652173914,51.46666666666667,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
University of Southern Queensland,Queensland,25850.0,5.5,5.9,5.9,5.9,5.9,94.0,24.0,24.0,23.0,27.0,50.0,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
University of the Sunshine Coast,Queensland,20600.0,6.0,5.9,5.9,5.9,5.9,76.0,18.0,18.0,18.0,18.0,50.0,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
Flinders University,South Australia,31867.82608695652,6.0,5.9,5.9,5.9,5.9,72.25,15.0,17.4,18.25,21.608695652173914,51.46666666666667,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
The University of Adelaide,South Australia,35500.0,6.5,6.5,6.5,6.5,6.5,72.25,15.0,17.4,18.25,21.608695652173914,51.46666666666667,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
University of South Australia,South Australia,33400.0,6.0,5.9,5.9,5.9,5.9,60.0,18.0,18.0,18.0,18.0,50.0,50.0,50.0,50.0,6.0,79.0,58.0
Deakin University,Victoria,33000.0,6.0,6.0,6.0,6.0,6.0,69.0,15.0,17.4,18.25,21.0,50.0,50.0,50.0,50.0,6.0,79.0,58.0
Federation University,Victoria,28800.0,5.5,5.9,5.9,5.9,5.9,72.25,15.0,17.4,18.25,21.608695652173914,51.46666666666667,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
La Trobe University,Victoria,31867.82608695652,6.0,5.9,5.9,5.9,5.9,64.0,12.0,13.0,18.0,21.0,46.0,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
Monash University,Victoria,39100.0,6.5,5.9,5.9,5.9,5.9,88.0,10.0,10.0,16.0,52.0,42.0,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
RMIT University,Victoria,28500.0,5.5,5.9,5.9,5.9,5.9,60.0,5.0,5.0,14.0,15.0,50.0,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
Swinburne University of Technology,Victoria,31220.0,6.0,5.9,5.9,5.9,5.9,60.0,9.0,10.0,16.0,19.0,50.0,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
The University of Melbourne,Victoria,36832.0,6.5,5.9,5.9,5.9,5.9,72.25,15.0,17.4,18.25,21.608695652173914,51.46666666666667,51.46666666666667,52.07142857142857,52.07142857142857,6.0,79.0,58.0
Victoria University,Victoria,26400.0,6.0,6.0,6.0,6.0,6.0,67.0,12.0,15.0,18.0,21.0,51.46666666666667,50.0,50.0,50.0,6.0,79.0,58.0
Curtin University,Western Australia,34000.0,6.5,6.0,6.0,6.0,6.0,79.0,13.0,13.0,18.0,21.0,58.0,50.0,50.0,50.0,6.0,79.0,58.0
Edith Cowan University,Western Australia,27600.0,6.0,5.9,5.9,5.9,5.9,70.0,17.0,17.0,17.0,17.0,52.0,50.0,50.0,50.0,6.0,79.0,58.0
Murdoch University,Western Australia,31065.0,6.5,5.9,5.9,5.9,5.9,94.0,27.0,27.0,27.0,27.0,68.0,68.0,68.0,68.0,6.0,79.0,58.0
The University of Notre Dame Australia,Western Australia,37071.0,6.5,5.9,5.9,5.9,5.9,73.0,18.0,18.0,18.0,18.0,50.0,50.0,50.0,50.0,6.0,79.0,58.0
The University of Western Australia,Western Australia,38310.0,6.5,5.9,5.9,5.9,5.9,82.0,20.0,18.0,20.0,22.0,64.0,59.0,54.0,54.0,6.0,79.0,58.0
